itemId	latitude	longitude
0	28.42	-81.58
1	28.42	-81.58
2	-33.52	-70.60
3	-33.52	-70.60
4	39.65	-0.51
5	39.66	-0.51
6	37.82	-122.35
7	37.79	-122.41
8	39.85	32.83
9	39.85	32.83
10	-23.57	-46.70
11	-23.57	-46.70
12	-23.54	-46.63
13	59.85	30.25
14	59.85	30.24
15	19.44	-99.20
16	19.44	-99.20
17	40.82	-85.84
18	40.80	-85.81
19	52.02	4.71
20	51.93	4.47
21	51.81	4.67
22	40.99	29.03
23	41.05	29.05
24	41.04	28.98
25	41.03	28.98
26	42.82	-1.64
27	42.82	-1.64
28	20.64	-105.23
29	20.66	-105.24
30	19.43	-99.16
31	19.43	-99.16
32	-0.01	-51.09
33	0.04	-51.06
34	-3.10	-60.02
35	-3.10	-60.02
36	-8.12	-34.91
37	-8.12	-34.90
38	40.96	29.07
39	40.96	29.08
40	-33.38	-70.51
41	-33.38	-70.51
42	-34.56	-58.41
43	-34.61	-58.38
44	19.41	-99.18
45	19.41	-99.17
46	19.41	-99.18
47	-25.42	-49.27
48	-25.43	-49.27
49	-5.09	-42.80
50	-5.09	-42.79
51	-33.45	-70.66
52	-33.45	-70.68
53	19.42	-99.18
54	19.43	-99.16
55	-30.03	-51.23
56	-30.03	-51.23
57	-33.43	-70.58
58	-33.49	-70.58
59	-33.49	-70.58
60	33.81	-117.88
61	33.81	-117.92
62	33.81	-117.92
63	-23.00	-43.32
64	-22.99	-43.25
65	0.03	-51.11
66	-30.06	-51.17
67	-30.06	-51.17
68	-33.47	-70.64
69	-34.18	-70.72
70	-34.18	-70.70
71	-3.10	-60.01
72	-3.11	-59.97
73	41.05	29.08
74	41.07	29.08
75	-19.93	-43.93
76	-19.92	-43.94
77	-19.89	-43.93
78	37.03	27.43
79	37.03	27.43
80	41.04	28.89
81	41.09	29.06
82	-33.01	-71.26
83	-32.98	-71.28
84	40.96	29.08
85	40.93	29.13
86	-3.73	-38.53
87	-3.76	-38.58
88	-25.40	-49.25
89	-25.45	-49.25
90	-7.23	-39.32
91	-7.21	-39.27
92	-7.24	-39.32
93	-7.25	-39.32
94	-33.44	-70.68
95	-33.50	-70.61
96	41.03	28.98
97	41.08	29.05
98	41.14	29.04
99	-5.81	-35.21
100	-5.81	-35.21
101	-34.84	-56.02
102	-3.13	-60.02
103	-3.13	-60.02
104	-33.44	-70.64
105	-33.44	-70.64
106	35.55	139.65
107	35.55	139.65
108	-23.55	-46.62
109	-23.55	-46.63
110	-23.44	-70.44
111	-23.44	-70.44
112	-23.50	-46.62
113	-23.51	-46.61
114	19.41	-99.18
115	19.41	-99.17
116	19.39	-99.17
117	19.40	-99.17
118	40.96	28.84
119	40.96	28.82
120	36.00	139.79
121	36.10	139.76
122	36.13	139.76
123	38.46	27.21
124	38.46	27.12
125	4.68	-74.04
126	4.67	-74.05
127	0.03	-51.05
128	0.04	-51.06
129	35.28	139.67
130	35.66	139.76
131	-1.45	-48.49
132	-1.41	-48.44
133	33.94	-118.41
134	36.08	-115.15
135	36.12	-115.17
136	-2.51	-44.29
137	-2.50	-44.29
138	-23.51	-46.59
139	-23.53	-46.59
140	-33.40	-70.51
141	-33.41	-70.58
142	44.08	-123.04
143	44.09	-123.06
144	-35.43	-71.66
145	-35.43	-71.65
146	-3.09	-59.96
147	-3.09	-59.97
148	-30.03	-51.20
149	-30.11	-51.25
150	-30.02	-51.22
151	-29.92	-51.18
152	-29.88	-51.18
153	-1.39	-48.42
154	-0.62	-47.34
155	-5.80	-35.20
156	-5.81	-35.21
157	34.70	135.51
158	34.70	135.51
159	34.70	135.51
160	34.70	135.50
161	34.70	135.50
162	39.30	-94.72
163	41.98	-87.90
164	19.36	-99.27
165	19.37	-99.26
166	34.68	135.64
167	34.68	135.51
168	38.99	-77.03
169	38.92	-77.02
170	35.17	138.91
171	35.10	138.86
172	35.10	138.86
173	-34.55	-58.45
174	-12.13	-77.03
175	-12.13	-77.03
176	43.06	-87.95
177	43.06	-87.88
178	-33.03	-71.59
179	-33.01	-71.55
180	-33.01	-71.55
181	14.58	-60.98
182	14.54	-60.94
183	-23.64	-70.40
184	-23.69	-70.41
185	38.29	140.36
186	38.36	140.29
187	35.71	139.78
188	35.71	139.78
189	-15.83	-47.96
190	-15.83	-47.96
191	35.73	139.73
192	35.70	139.76
193	9.86	-83.91
194	9.83	-83.86
195	35.63	139.72
196	35.62	139.72
197	-37.81	144.96
198	-37.81	144.96
199	19.36	-99.16
200	19.35	-99.16
201	-33.44	-70.63
202	-33.45	-70.66
203	-33.49	-70.65
204	-33.49	-70.65
205	-25.42	-49.27
206	-33.05	-71.61
207	-33.31	-71.41
208	40.04	-75.50
209	40.04	-75.50
210	-27.60	-48.55
211	-27.60	-48.55
212	-27.63	-48.68
213	40.69	29.43
214	40.77	29.42
215	40.76	29.42
216	40.91	29.32
217	19.49	-99.24
218	19.51	-99.24
219	19.52	-99.25
220	-33.46	-70.71
221	-33.54	-70.66
222	-33.59	-70.70
223	-33.46	-70.66
224	-22.90	-43.19
225	-22.90	-43.19
226	19.43	-99.19
227	19.37	-99.16
228	35.91	139.48
229	35.94	139.42
230	21.04	-89.63
231	21.03	-89.62
232	-23.56	-46.66
233	-23.57	-46.71
234	-23.60	-46.72
235	32.81	-96.74
236	-25.30	-57.58
237	-33.40	-70.58
238	-33.40	-70.58
239	-33.40	-70.58
240	-33.44	-70.64
241	-33.41	-70.57
242	-12.09	-77.06
243	-12.09	-77.06
244	-12.09	-77.06
245	9.92	-84.05
246	9.92	-84.05
247	19.51	-96.88
248	19.51	-96.88
249	34.68	135.54
250	34.69	135.55
251	34.69	135.55
252	38.90	-77.03
253	18.45	-69.94
254	18.47	-69.94
255	19.39	-99.17
256	19.43	-99.17
257	35.10	129.04
258	35.12	129.03
259	-38.74	-72.61
260	-38.73	-72.61
261	-23.45	-70.44
262	-12.02	-77.11
263	35.66	140.32
264	35.67	139.76
265	35.67	139.74
266	28.43	-81.31
267	28.33	-81.61
268	-33.05	-71.62
269	19.42	-99.18
270	-23.57	-46.70
271	-23.57	-46.70
272	-33.46	-70.57
273	-33.45	-70.57
274	-33.59	-70.58
275	-23.57	-46.64
276	-23.57	-46.64
277	-41.33	174.76
278	-41.33	174.76
279	35.70	139.76
280	35.69	139.79
281	35.68	139.80
282	35.53	139.49
283	-1.45	-48.49
284	-18.91	-48.27
285	-18.91	-48.26
286	-23.65	-70.40
287	-23.65	-70.40
288	-23.57	-46.70
289	19.44	-99.20
290	19.44	-99.21
291	22.27	-97.87
292	22.28	-97.85
293	-32.75	-70.72
294	-20.27	-40.30
295	-20.34	-40.29
296	-20.32	-40.28
297	19.38	-99.08
298	19.38	-99.08
299	41.03	28.97
300	41.03	28.97
301	10.07	-84.31
302	9.94	-84.15
303	9.94	-84.11
304	-29.91	-51.18
305	-29.91	-51.18
306	-33.43	-70.63
307	13.74	100.47
308	13.76	100.47
309	13.77	100.48
310	13.76	100.50
311	9.97	-84.21
312	9.97	-84.21
313	28.49	-82.47
314	28.49	-82.47
315	-33.44	-70.64
316	-33.45	-70.65
317	-26.99	-48.63
318	-26.99	-48.65
319	-26.91	-48.69
320	20.50	-86.96
321	20.50	-86.96
322	25.68	-100.28
323	25.68	-100.35
324	21.15	-86.82
325	21.15	-86.82
326	19.37	-99.12
327	19.38	-99.12
328	-12.06	-77.04
329	-12.14	-77.02
330	-12.14	-77.02
331	26.33	-80.10
332	26.33	-80.09
333	-12.12	-76.99
334	-12.11	-77.00
335	-12.11	-77.00
336	25.64	-100.29
337	25.64	-100.29
338	35.98	139.75
339	36.02	139.73
340	-22.91	-43.17
341	-23.63	-46.66
342	-23.63	-46.60
343	-33.44	-70.65
344	-33.43	-70.65
345	-29.16	-51.15
346	-29.16	-51.15
347	34.96	136.92
348	35.02	136.89
349	35.13	136.91
350	19.53	-96.92
351	19.52	-96.88
352	9.93	-84.04
353	9.92	-84.05
354	9.91	-84.24
355	9.90	-84.01
356	-33.35	-70.52
357	-33.43	-70.66
358	-33.44	-70.66
359	-33.44	-70.66
360	-33.01	-71.55
361	-33.00	-71.52
362	35.55	139.79
363	33.83	132.70
364	37.55	-121.94
365	37.58	-122.00
366	-33.01	-71.55
367	-33.03	-71.55
368	40.65	-73.78
369	40.75	-73.98
370	35.47	139.62
371	35.69	139.70
372	-12.05	-77.03
373	-12.07	-77.08
374	-23.61	-46.67
375	-23.61	-46.68
376	35.46	139.63
377	34.79	135.44
378	34.80	135.46
379	-22.91	-43.22
380	-22.95	-43.17
381	13.74	100.53
382	13.74	100.53
383	-33.41	-70.57
384	-33.41	-70.57
385	9.93	-84.05
386	9.93	-84.07
387	9.94	-84.03
388	-23.59	-46.69
389	19.40	-99.16
390	19.40	-99.15
391	14.55	121.03
392	14.55	121.03
393	-23.55	-46.65
394	-23.55	-46.65
395	-23.55	-46.65
396	19.36	-99.17
397	19.36	-99.17
398	-33.43	-70.58
399	-33.45	-70.58
400	19.37	-99.16
401	19.34	-99.13
402	-8.03	-34.89
403	-8.05	-34.90
404	13.80	100.57
405	13.73	100.53
406	-23.57	-46.65
407	-23.57	-46.65
408	-23.56	-46.66
409	43.21	-77.57
410	43.21	-77.57
411	35.34	137.12
412	35.19	136.94
413	34.76	135.48
414	35.00	135.77
415	34.99	135.78
416	37.56	126.80
417	37.45	126.45
418	40.76	-73.97
419	40.61	-74.04
420	40.64	-74.20
421	-22.95	-43.60
422	-22.96	-43.61
423	19.84	-90.54
424	19.86	-90.53
425	-39.82	-73.23
426	-39.81	-73.24
427	-38.99	-72.64
428	-38.74	-72.59
429	-38.73	-72.61
430	40.82	-85.83
431	40.80	-85.82
432	25.78	-100.11
433	19.43	-99.08
434	19.36	-99.27
435	19.43	-99.18
436	19.30	-99.19
437	19.30	-99.19
438	19.30	-99.19
439	-22.82	-43.29
440	-22.91	-43.31
441	19.39	-99.25
442	19.39	-99.25
443	34.71	137.85
444	34.70	137.73
445	14.62	121.05
446	14.55	121.05
447	16.76	-93.12
448	16.75	-93.08
449	3.06	101.62
450	3.06	101.62
451	-25.43	-49.27
452	-25.46	-49.22
453	-25.46	-49.22
454	6.12	100.37
455	6.12	100.37
456	6.12	100.37
457	25.78	-80.19
458	51.21	3.22
459	51.18	3.04
460	-33.48	-70.65
461	-33.51	-70.68
462	-15.61	-56.08
463	-15.61	-56.07
464	-33.39	-70.60
465	-33.42	-70.63
466	13.70	100.61
467	13.74	100.56
468	-1.45	-48.49
469	-1.47	-48.49
470	-33.47	-70.62
471	-33.45	-70.68
472	-33.57	-70.58
473	40.68	-73.97
474	40.67	-73.99
475	19.41	-99.27
476	19.40	-99.23
477	19.36	-99.27
478	30.20	-97.67
479	33.44	-112.00
480	-6.23	106.83
481	-6.23	106.83
