followee	follower
0	578
0	2040
0	5453
1	444
1	2593
1	2846
1	4623
1	4950
2	424
2	795
2	2056
2	2899
2	5026
3	1758
3	1979
3	2231
3	2233
3	2437
3	2574
3	2662
3	2845
3	3174
3	3432
3	4131
3	4424
3	4534
3	4602
3	4778
3	4967
4	1645
5	157
6	286
6	483
6	573
6	574
6	1900
6	2432
6	2494
6	3406
6	4122
6	4187
6	4802
6	4872
6	5113
6	5473
7	850
7	2117
7	2128
7	2673
7	2842
7	5210
8	321
8	2366
9	865
9	3127
9	4909
9	5049
10	699
10	1600
11	1802
12	1939
12	3398
13	900
13	1118
13	4310
14	47
14	487
14	1060
14	4250
14	5005
14	5031
15	5169
16	2694
16	4555
16	4583
17	2581
18	241
18	889
18	1400
18	1464
18	1562
18	2375
18	2565
18	2666
18	3445
18	4512
19	2222
19	2866
20	144
20	1443
20	1584
20	1735
20	2000
20	2001
20	2318
20	2884
20	3204
20	3436
20	3544
20	4936
21	564
21	948
22	851
22	1127
22	1460
22	1513
22	1517
22	1613
22	2304
22	2881
22	3126
22	3220
22	3240
22	3253
22	3388
22	3953
22	4176
22	4238
22	4272
22	4312
22	4811
22	4893
22	5337
23	609
23	657
23	3143
23	3370
23	5373
24	2380
25	110
25	134
25	496
25	760
25	834
25	844
25	906
25	917
25	1032
25	1328
25	1416
25	1570
25	3145
25	3207
25	3451
25	4391
25	4789
25	4806
25	4854
25	4877
25	4898
25	5336
26	1973
27	2967
28	5202
29	1519
29	1884
29	2045
29	3441
30	341
30	490
30	1497
30	2015
30	2222
30	2866
30	2881
30	3205
30	3253
30	3291
30	3387
30	4310
30	5194
30	5198
30	5337
30	5356
31	587
31	996
31	1586
31	1733
31	2103
31	2428
31	2817
31	3163
31	3906
31	4939
32	817
32	1202
32	2475
33	113
34	1297
34	3823
35	172
35	1202
35	1294
35	2702
35	2833
35	2836
35	2933
36	5166
37	478
37	1038
38	3420
39	3944
39	4974
40	677
41	904
41	1949
41	2117
41	4617
42	2309
42	2697
42	3024
42	3577
43	817
43	1151
43	5372
43	5492
44	515
44	625
44	730
44	1731
44	2275
44	2686
44	3286
44	4315
44	4850
45	686
45	4106
45	4930
45	5156
46	1615
47	14
47	1060
47	1263
47	1687
47	2343
