itemId	latitude	longitude	venue
0	51.93	4.47	Train Station
1	51.81	4.67	Train Station
2	19.43	-99.16	Neighborhood
3	19.43	-99.16	Mall
4	33.94	-118.41	Airport
5	36.08	-115.15	Airport
6	9.92	-84.05	Mall
7	9.96	-84.06	Grocery Store
8	41.03	28.98	Bar
9	41.08	29.05	Beach
10	41.04	28.89	Bus Station
11	41.09	29.06	Bridge
12	0.03	-51.05	Mall
13	0.04	-51.06	Building
14	34.70	135.51	Train Station
15	34.70	135.50	Train Station
16	34.70	135.50	Bus Station
17	34.68	135.64	Train Station
18	34.68	135.51	Subway
19	35.17	138.91	Train Station
20	35.10	138.86	Train Station
21	35.10	138.86	Train Station
22	32.81	-96.74	Residential Building (Apartment / Condo)
23	-1.45	-48.49	Mall
24	-1.45	-48.49	Multiplex
25	-33.44	-70.64	Park
26	-33.44	-70.64	Hospital
27	34.68	135.54	Subway
28	34.69	135.55	Subway
29	34.69	135.55	Train Station
30	35.33	139.41	Train Station
31	35.53	139.70	Train Station
32	35.60	139.61	Train Station
33	35.60	139.61	Train Station
34	38.32	140.88	Subway
35	38.26	140.88	Subway
36	35.70	139.76	Train Station
37	35.69	139.79	Subway
38	34.70	135.50	Train Station
39	34.99	135.76	Train Station
40	13.74	100.47	Field
41	13.76	100.47	Farmers Market
42	13.77	100.48	Road
43	13.76	100.50	High School
44	-33.01	-71.55	Mall
45	-32.98	-71.53	Home (private)
46	34.96	136.92	Train Station
47	35.13	136.91	Train Station
48	40.65	-73.78	Airport
49	40.75	-73.98	Train Station
50	34.79	135.44	Airport Terminal
51	34.80	135.46	College Engineering Building
52	34.70	137.73	Train Station
53	35.69	139.70	Train Station
54	-25.46	-49.22	Home (private)
55	-33.48	-70.65	Subway
56	-33.45	-70.66	Subway
57	-33.51	-70.68	Home (private)
58	1.45	124.82	Home (private)
59	1.46	124.83	Medical School
60	13.70	100.61	Train Station
61	13.74	100.56	Train Station
62	19.43	-99.16	Gym
63	-33.47	-70.62	Subway
64	-33.57	-70.58	Subway
65	30.20	-97.67	Airport
66	33.44	-112.00	Airport
67	19.46	-99.22	Office
68	19.52	-99.22	Garden Center
69	-19.97	-43.94	Plaza
70	-19.94	-43.93	Home (private)
71	44.88	-93.21	Airport
72	-33.46	-70.59	Plaza
73	-33.45	-70.59	Building
74	-7.30	-39.31	Home (private)
75	0.04	-51.09	General College & University
76	0.00	-51.07	Home (private)
77	35.61	139.63	Train Station
78	35.61	139.69	Train Station
79	4.69	-74.13	Airport Terminal
80	-33.54	-70.62	Subway
81	-33.54	-70.66	Subway
82	-33.45	-70.67	Subway
83	36.06	139.51	Train Station
84	0.03	-51.06	College & University
85	-0.03	-51.18	Bar
86	35.77	139.66	Grocery Store
87	35.77	139.66	Bookstore
88	20.67	-103.43	Other Great Outdoors
89	20.68	-103.43	Mall
90	35.55	139.65	Bookstore
91	35.55	139.65	Fast Food Restaurant
92	35.56	139.65	University
93	-12.18	-77.01	Bus Station
94	-12.11	-77.03	Home (private)
95	35.63	139.72	Train Station
96	35.70	139.70	Train Station
97	35.74	139.49	Train Station
98	-23.65	-46.71	Bus Station
99	-23.67	-46.65	Home (private)
100	35.73	139.88	Train Station
101	35.70	139.75	Train Station
102	35.70	139.75	Subway
103	30.44	-91.02	Optical Shop
104	30.56	-90.55	Home (private)
105	36.03	138.02	Train Station
106	36.06	138.04	Train Station
107	36.05	138.12	Train Station
108	10.71	122.55	Mall
109	10.71	122.55	Miscellaneous Shop
110	35.76	-78.78	Bookstore
111	35.92	-78.81	Residential Building (Apartment / Condo)
112	-12.10	-77.03	Bus Station
113	-12.09	-77.03	Bridge
114	35.17	136.88	Train Station
115	35.17	136.88	Department Store
116	34.44	132.92	Airport
117	35.66	139.76	Train Station
118	35.66	139.70	Train Station
119	3.20	101.74	Mall
120	3.20	101.74	Multiplex
121	32.90	-97.04	Airport
122	13.85	100.57	University
123	13.85	100.57	College Auditorium
124	19.43	-99.13	Plaza
125	19.43	-99.14	Opera House
126	34.72	135.38	Train Station
127	34.70	135.50	Mall
128	24.13	-110.28	Home (private)
129	24.13	-110.34	Home (private)
130	41.94	-87.65	Train Station
131	41.88	-87.64	Train Station
132	35.17	136.88	Mall
133	35.17	136.88	Mall
134	34.73	135.64	Train Station
135	34.84	135.71	University
136	35.61	140.11	Train Station
137	35.58	140.13	Train Station
138	35.67	140.01	Train Station
139	35.71	139.96	Train Station
140	35.69	140.02	Train Station
141	3.06	101.62	University
142	3.06	101.62	Caf�
143	35.55	139.78	Airport Terminal
144	35.58	139.56	Train Station
145	35.70	139.77	Train Station
146	35.70	139.78	Bar
147	35.70	139.48	Train Station
148	34.75	135.61	Train Station
149	34.70	135.53	Train Station
150	34.69	135.52	Train Station
151	35.71	139.69	Subway
152	35.71	139.70	Arcade
153	50.49	30.63	Home (private)
154	50.46	30.65	Subway
155	35.38	136.95	Train Station
156	35.14	136.90	Train Station
157	35.16	136.91	Subway
158	35.16	136.90	Electronics Store
159	-6.19	106.74	Residential Building (Apartment / Condo)
160	-6.19	106.73	Mall
161	35.14	136.90	Train Station
162	35.01	136.96	Train Station
163	35.16	136.91	Electronics Store
164	33.59	130.42	Train Station
165	32.79	130.69	Train Station
166	13.85	100.57	College Auditorium
167	13.85	100.57	College Cafeteria
168	35.66	139.70	Record Shop
169	35.66	139.70	General Entertainment
170	13.74	100.53	Other Great Outdoors
171	13.74	100.53	Building
172	13.75	100.53	Mall
173	35.67	139.83	Subway
174	35.68	139.78	Subway
175	35.68	139.77	Train Station
176	35.70	139.77	Neighborhood
177	35.70	139.77	Hobby Shop
178	35.70	139.77	Bookstore
179	35.70	139.77	Bookstore
180	35.70	139.79	Train Station
181	35.72	139.86	Train Station
182	35.72	139.93	Train Station
183	43.07	141.35	Train Station
184	43.07	141.35	Subway
185	43.08	141.34	University
186	35.17	136.88	Train Station
187	13.73	100.53	School
188	13.73	100.54	Subway
189	13.72	100.56	Convention Center
190	13.91	100.50	Road
191	13.90	100.53	Mall
192	13.86	100.54	Mall
193	-33.38	-70.53	Hospital
194	3.12	101.62	Road
195	3.04	101.62	Mall
196	35.68	139.77	Train Station
197	35.63	139.74	Train Station
198	33.59	130.40	Other Great Outdoors
199	33.59	130.40	Arcade
200	33.59	130.40	Department Store
201	33.59	130.40	Train Station
202	33.59	130.40	Bowling Alley
203	33.59	130.40	Mall
204	33.59	130.40	Home (private)
205	52.52	13.39	Train Station
206	52.51	13.38	Train Station
207	52.51	13.38	Plaza
208	35.66	139.34	Train Station
209	45.55	9.33	Mall
210	45.55	9.33	Electronics Store
211	1.46	103.74	General College & University
212	1.46	103.76	Mall
213	9.97	-84.00	Housing Development
214	9.98	-84.00	Home (private)
215	35.32	139.56	Shrine
216	35.32	139.55	Train Station
217	35.32	139.55	Grocery Store
218	35.33	139.56	Temple
219	3.07	101.50	University
220	3.07	101.61	Mall
221	35.66	139.70	Train Station
222	35.56	139.72	Train Station
223	1.33	103.95	Train Station
224	1.33	103.74	Train Station
225	1.35	103.75	Train Station
226	1.30	103.86	Subway
227	14.52	121.02	Hotel
228	14.52	121.02	General Entertainment
229	35.75	139.81	Train Station
230	35.70	139.77	Electronics Store
231	35.70	139.76	Subway
232	35.47	139.61	Playground
233	35.47	139.62	Train Station
234	35.47	139.62	Train Station
235	35.66	139.70	Bridge
236	35.66	139.73	Mall
237	35.65	139.71	Train Station
238	35.65	139.70	Train Station
239	35.61	139.67	Train Station
240	35.47	139.62	Mall
241	35.65	139.71	Subway
242	35.66	139.70	Train Station
243	35.63	139.66	Train Station
244	3.18	101.66	Road
245	3.16	101.71	Mall
246	35.67	139.65	Train Station
247	35.70	139.76	College Academic Building
248	35.70	139.77	Train Station
249	3.07	101.61	Gym / Fitness Center
250	3.16	101.61	Mall
251	34.52	136.67	Train Station
252	34.58	136.54	Train Station
253	35.70	139.76	Train Station
254	13.73	100.78	College Cafeteria
255	13.69	100.65	Mall
256	35.41	136.76	Train Station
257	35.17	136.88	Subway
258	35.17	136.91	Subway
259	35.35	139.53	Train Station
260	35.31	139.54	Light Rail
261	35.34	139.49	Train Station
262	34.70	135.50	Subway
263	34.67	135.50	Subway
264	13.81	100.56	Mall
265	13.82	100.56	Mall
266	35.66	139.54	Home (private)
267	35.65	139.54	Train Station
268	35.67	139.76	Train Station
269	35.67	139.77	Electronics Store
270	35.67	139.76	Subway
271	1.32	103.84	Subway
272	1.33	103.74	Mall
273	35.81	139.59	Train Station
274	35.82	139.59	Train Station
275	35.70	139.47	Train Station
276	35.70	139.54	Train Station
277	35.70	139.51	Train Station
278	35.51	140.09	Train Station
279	35.69	140.02	Train Station
280	35.48	140.04	Train Station
281	41.00	28.87	Caf�
282	41.01	28.91	Residential Building (Apartment / Condo)
283	41.02	28.91	Home (private)
284	41.08	29.03	Neighborhood
285	3.06	101.62	Coffee Shop
286	35.57	139.70	Train Station
287	35.56	139.71	Train Station
