followee	follower
0	972
0	1299
0	2289
1	207
1	393
1	1348
1	2158
2	156
3	2102
4	329
4	792
5	449
6	1857
6	2137
7	1471
8	57
8	735
8	794
8	959
8	960
8	1339
8	1525
8	1563
8	1724
8	2112
9	622
10	1641
11	2123
12	315
13	2253
14	291
14	351
14	1887
14	2096
15	319
16	242
16	1151
16	1410
16	2012
17	1193
18	455
18	532
18	715
18	986
19	483
19	706
20	22
20	385
20	521
20	526
20	556
20	957
20	1906
20	2125
20	2158
21	467
21	517
21	606
21	753
21	782
21	896
21	1118
21	1618
21	2217
22	20
22	32
22	43
22	54
22	227
22	782
22	2219
23	1006
24	76
24	459
24	2146
25	84
26	2155
27	43
27	77
27	102
27	405
27	685
27	1167
27	1424
28	77
28	545
28	555
28	563
28	787
28	1655
29	41
29	43
29	48
29	113
29	236
29	375
29	411
29	508
29	517
29	573
29	601
29	646
29	689
29	764
29	777
29	781
29	805
29	819
29	901
29	986
29	1030
29	1082
29	1204
29	1445
29	1618
29	1999
29	2239
30	1736
31	160
32	22
32	43
32	348
32	355
32	518
32	575
32	675
32	925
32	965
32	966
32	1083
32	1100
32	1203
32	1262
32	1655
32	2158
33	1011
33	1037
33	1072
33	1854
33	2278
34	55
34	385
34	497
34	537
34	602
34	669
34	882
35	1047
35	1118
35	1156
36	1144
37	1811
37	2032
38	2001
39	66
39	218
39	531
39	571
39	1570
39	1684
39	1707
40	399
41	29
41	43
41	113
41	517
41	783
41	819
42	43
42	132
42	137
42	165
42	192
42	205
42	219
42	231
42	320
42	339
42	370
42	371
42	376
42	385
42	417
42	470
42	472
42	508
42	521
42	555
42	564
42	579
42	591
42	760
42	805
42	819
42	890
42	896
42	957
42	1047
42	1465
42	1486
42	1602
42	1672
42	1682
42	1846
42	1864
42	2127
42	2239
42	2249
43	22
43	27
43	29
43	32
43	41
43	42
43	56
43	61
43	78
43	79
43	85
43	88
43	122
43	127
43	132
43	137
43	139
43	170
43	198
43	201
43	219
43	227
43	231
43	323
43	341
43	348
43	357
43	375
43	377
43	384
43	385
43	389
43	405
43	417
43	445
43	448
43	460
43	467
43	468
43	474
43	497
43	508
43	517
43	520
43	521
43	525
43	537
43	538
43	550
43	575
43	601
43	612
43	614
43	627
43	629
43	630
43	636
43	646
43	657
43	669
43	674
43	675
43	694
43	734
43	739
43	743
43	749
43	750
43	753
43	764
43	769
43	771
43	780
43	781
43	782
43	783
43	805
43	819
43	869
43	882
43	894
43	896
43	901
43	920
43	925
43	941
43	948
43	957
43	965
43	985
43	986
43	1017
43	1019
43	1030
43	1047
43	1053
43	1082
43	1083
43	1092
43	1100
43	1110
43	1112
43	1163
43	1191
43	1204
43	1293
43	1295
43	1408
43	1432
43	1564
43	1576
43	1603
43	1605
43	1618
43	1627
43	1640
43	1667
43	1672
43	1681
43	1711
43	1747
43	1815
43	1830
43	1846
43	1864
43	1872
43	1915
43	1950
43	1965
43	1999
43	2014
43	2037
43	2041
43	2048
43	2065
43	2119
43	2125
43	2129
43	2158
43	2193
43	2217
43	2221
43	2234
43	2236
43	2238
43	2239
43	2275
