itemId	latitude	longitude	venue
0	51.93	4.47	Train Station
1	51.81	4.67	Train Station
2	33.94	-118.41	Airport
3	36.08	-115.15	Airport
4	34.70	135.51	Train Station
5	34.70	135.50	Train Station
6	34.68	135.64	Train Station
7	34.68	135.51	Subway
8	35.17	138.91	Train Station
9	35.10	138.86	Train Station
10	35.10	138.86	Train Station
11	34.68	135.54	Subway
12	34.69	135.55	Train Station
13	35.33	139.41	Train Station
14	35.53	139.70	Train Station
15	35.60	139.61	Train Station
16	35.60	139.61	Train Station
17	35.14	136.90	Train Station
18	35.01	136.96	Train Station
19	13.76	100.47	Farmers Market
20	13.77	100.48	Road
21	13.76	100.50	High School
22	-33.45	-70.66	Subway
23	-33.51	-70.68	Home (private)
24	-33.44	-70.66	Subway
25	-33.43	-70.65	Building
26	19.46	-99.22	Office
27	19.52	-99.22	Garden Center
28	-19.97	-43.94	Plaza
29	-19.94	-43.93	Home (private)
30	-33.46	-70.59	Plaza
31	-33.45	-70.59	Building
32	-7.30	-39.31	Home (private)
33	0.04	-51.09	General College & University
34	0.00	-51.07	Home (private)
35	-12.12	-77.03	Plaza
36	-12.08	-77.08	Mall
37	4.69	-74.13	Airport Terminal
38	36.06	139.51	Train Station
39	35.69	139.70	Train Station
40	35.77	139.66	Grocery Store
41	35.77	139.66	Bookstore
42	35.55	139.65	Bookstore
43	35.55	139.65	Fast Food Restaurant
44	35.56	139.65	University
45	35.63	139.72	Train Station
46	35.70	139.70	Train Station
47	35.74	139.49	Train Station
48	35.73	139.88	Train Station
49	35.70	139.75	Train Station
50	35.70	139.75	Subway
51	30.44	-91.02	Optical Shop
52	30.56	-90.55	Home (private)
53	36.03	138.02	Train Station
54	36.06	138.04	Train Station
55	36.05	138.12	Train Station
56	35.66	139.76	Train Station
57	35.66	139.70	Train Station
58	35.70	139.76	Train Station
59	34.69	135.52	Train Station
60	34.69	135.51	Caf�
61	35.17	136.88	Mall
62	35.17	136.88	Mall
63	34.73	135.64	Train Station
64	34.84	135.71	University
65	35.61	140.11	Train Station
66	35.58	140.13	Train Station
67	35.67	140.01	Train Station
68	35.71	139.96	Train Station
69	35.69	140.02	Train Station
70	35.63	139.42	Train Station
71	35.63	139.42	Train Station
72	35.71	139.65	Train Station
73	35.38	136.95	Train Station
74	35.14	136.90	Train Station
75	35.16	136.91	Subway
76	35.55	139.78	Airport Terminal
77	35.58	139.56	Train Station
78	35.70	139.77	Train Station
79	35.70	139.78	Bar
80	35.70	139.48	Train Station
81	34.75	135.61	Train Station
82	34.70	135.53	Train Station
83	50.49	30.63	Home (private)
84	50.46	30.65	Subway
85	-6.19	106.74	Residential Building (Apartment / Condo)
86	-6.19	106.73	Mall
87	33.59	130.42	Train Station
88	32.79	130.69	Train Station
89	3.07	101.49	General College & University
90	3.07	101.50	College Communications Building
91	13.74	100.53	Other Great Outdoors
92	13.74	100.53	Building
93	13.75	100.53	Mall
94	35.67	139.83	Subway
95	35.68	139.78	Subway
96	35.68	139.77	Train Station
97	35.70	139.77	Neighborhood
98	35.70	139.77	Hobby Shop
99	35.70	139.77	Bookstore
100	35.70	139.77	Bookstore
101	35.70	139.79	Train Station
102	35.72	139.86	Train Station
103	35.72	139.93	Train Station
104	43.07	141.35	Train Station
105	43.07	141.35	Subway
106	43.08	141.34	University
107	35.17	136.88	Train Station
108	13.91	100.50	Road
109	13.90	100.53	Mall
110	13.86	100.54	Mall
111	35.68	139.77	Train Station
112	35.63	139.74	Train Station
113	33.59	130.40	Other Great Outdoors
114	33.59	130.40	Arcade
115	33.59	130.40	Train Station
116	33.59	130.40	Bowling Alley
117	33.59	130.40	Mall
118	33.59	130.40	Home (private)
119	52.52	13.39	Train Station
120	52.51	13.38	Train Station
121	52.51	13.38	Plaza
122	35.66	139.34	Train Station
123	1.46	103.74	General College & University
124	1.46	103.76	Mall
125	9.97	-84.00	Housing Development
126	9.98	-84.00	Home (private)
127	35.32	139.56	Shrine
128	35.32	139.55	Train Station
129	35.33	139.56	Temple
130	35.75	139.81	Train Station
131	35.70	139.76	Subway
132	35.47	139.61	Playground
133	35.47	139.62	Train Station
134	35.47	139.62	Train Station
135	35.66	139.70	Bridge
136	35.66	139.73	Mall
137	35.65	139.71	Train Station
138	35.65	139.70	Train Station
139	35.61	139.67	Train Station
140	35.47	139.62	Mall
141	35.66	139.70	Train Station
142	35.63	139.66	Train Station
143	35.67	139.65	Train Station
144	35.70	139.76	College Academic Building
145	35.70	139.77	Train Station
146	34.52	136.67	Train Station
147	34.58	136.54	Train Station
148	13.73	100.78	College Cafeteria
149	13.69	100.65	Mall
150	14.43	121.01	Mall
151	35.35	139.53	Train Station
152	35.31	139.54	Light Rail
153	35.34	139.49	Train Station
154	13.85	100.57	University
155	13.81	100.56	Mall
156	13.82	100.56	Mall
157	35.66	139.54	Home (private)
158	35.65	139.54	Train Station
159	35.67	139.76	Train Station
160	35.67	139.77	Electronics Store
161	35.67	139.76	Subway
162	41.01	28.91	Residential Building (Apartment / Condo)
163	41.02	28.91	Home (private)
164	41.08	29.03	Neighborhood
165	3.06	101.62	University
166	3.06	101.62	Coffee Shop
167	35.57	139.70	Train Station
168	35.56	139.72	Train Station
169	35.59	139.73	Train Station
170	35.63	139.74	Train Station
171	35.67	139.60	Train Station
172	35.69	139.74	Subway
173	3.15	101.71	Mall
174	13.82	100.56	Home (private)
175	40.97	29.09	Residential Building (Apartment / Condo)
176	41.04	29.01	University
177	14.07	100.60	College Academic Building
178	13.75	100.50	Home (private)
179	35.73	139.72	Hobby Shop
180	35.73	139.71	Hobby Shop
181	-33.02	-71.54	University
182	-33.05	-71.59	Home (private)
183	34.70	135.50	Train Station
184	34.70	135.50	Department Store
185	19.47	-99.16	Residential Building (Apartment / Condo)
186	19.44	-99.20	Mall
187	35.17	136.91	Subway
188	35.17	136.91	Subway
189	35.17	136.91	Home (private)
190	35.14	136.90	Plaza
191	3.05	101.59	Mall
192	3.07	101.61	Mall
193	3.05	101.58	Home (private)
194	36.35	137.93	Train Station
195	36.23	137.96	Train Station
196	35.54	139.45	Train Station
197	35.67	139.72	Subway
198	35.75	139.80	Subway
199	35.71	139.78	Subway
200	35.71	139.78	Train Station
201	35.70	139.77	Hobby Shop
202	35.70	139.77	Electronics Store
203	35.71	139.80	Temple
204	35.71	139.81	Monument / Landmark
205	35.75	139.86	Train Station
206	35.75	139.87	Train Station
207	35.81	139.92	Train Station
208	35.81	139.92	Train Station
209	35.00	135.77	Train Station
210	34.69	135.49	Train Station
211	34.86	135.68	Train Station
212	35.01	135.77	Train Station
213	35.63	139.45	Train Station
214	37.54	127.12	Doctor's Office
215	37.54	127.12	Subway
216	37.51	127.07	Baseball Stadium
217	37.54	127.12	Department Store
218	37.54	127.13	Grocery Store
219	37.54	127.13	General Entertainment
220	35.17	136.91	Office
221	35.17	136.92	Subway
222	35.80	139.44	Train Station
223	35.71	139.80	Train Station
224	35.69	139.70	Electronics Store
225	35.64	139.93	Park
226	35.65	139.91	Train Station
227	35.67	139.76	Train Station
228	39.70	141.14	Coffee Shop
229	39.71	141.13	Grocery Store
230	39.71	141.13	Road
231	34.48	136.82	College Technology Building
232	34.48	136.82	Train Station
233	34.71	135.50	Train Station
234	35.67	139.89	Subway
235	35.68	139.77	Subway
236	13.65	100.50	University
237	35.56	139.72	Train Station
238	35.53	139.70	Train Station
239	35.53	139.70	Train Station
240	35.62	139.57	Train Station
241	35.62	139.57	Train Station
242	35.62	139.57	Train Station
243	35.62	139.56	Train Station
244	35.53	139.70	Mall
245	35.53	139.70	Electronics Store
246	35.55	139.73	Train Station
247	34.95	135.70	Train Station
248	34.89	135.68	Train Station
249	33.59	130.42	Bus Station
250	33.59	130.42	Electronics Store
251	33.89	130.88	Train Station
252	3.05	101.59	Hostel
253	13.80	100.55	Train Station
254	13.76	100.53	Train Station
255	13.75	100.54	Mall
256	13.75	100.53	Mall
257	13.75	100.54	Mall
258	35.34	139.49	Train Station
259	9.85	-83.91	Housing Development
260	9.94	-84.13	Coworking Space
261	13.75	100.56	University
262	13.77	100.64	Mall
263	35.73	140.07	Train Station
264	35.67	139.90	Subway
265	34.70	135.50	Train Station
266	34.66	135.50	Train Station
267	34.58	135.48	Train Station
268	14.44	120.99	Home (private)
269	14.44	120.98	Home (private)
270	13.76	100.54	Monument / Landmark
271	13.87	100.50	Mall
272	35.70	139.83	Train Station
273	35.70	139.77	Bookstore
274	3.16	101.61	Movie Theater
275	18.77	98.97	Mall
276	18.77	98.97	Multiplex
277	34.67	135.46	Train Station
278	34.64	135.41	Subway
279	34.64	135.41	Train Station
280	0.03	-51.06	College & University
281	-0.01	-51.08	Racetrack
282	43.07	141.35	Electronics Store
283	14.56	121.05	Home (private)
284	14.56	121.01	Office
285	14.56	121.01	Office
286	35.41	136.76	Train Station
287	35.40	136.72	Train Station
288	34.85	135.62	Train Station
289	34.99	135.76	Train Station
290	34.73	135.43	Train Station
