follower	followee
4	0
8	0
10	0
12	0
17	0
18	0
21	0
54	0
62	0
65	0
93	0
152	0
153	0
170	0
211	0
227	0
232	0
280	0
326	0
449	0
617	0
670	0
671	0
797	0
923	0
932	0
1027	0
1232	0
1571	0
1984	0
2158	0
2313	0
2832	0
3506	0
3555	0
4327	0
5114	0
5779	0
5856	0
6243	0
6761	0
7951	0
8134	0
8149	0
8479	0
8486	0
8673	0
8765	0
9246	0
9523	0
10263	0
10275	0
10467	0
10949	0
11032	0
11795	0
12013	0
12742	0
14572	0
14734	0
15521	0
16663	0
17308	0
19436	0
20225	0
20313	0
21815	0
23990	0
24306	0
24347	0
24399	0
24539	0
24737	0
24893	0
25175	0
25350	0
25784	0
26098	0
28391	0
29936	0
39	1
54	1
82	1
94	1
231	1
1085	1
1711	1
1731	1
2643	1
2981	1
3643	1
4547	1
6566	1
8024	1
8403	1
8479	1
9517	1
10462	1
14401	1
19098	1
20313	1
20618	1
23990	1
23993	1
26706	1
29499	1
30017	1
4	2
9	2
28	2
33	2
36	2
38	2
41	2
52	2
57	2
99	2
112	2
153	2
170	2
257	2
310	2
314	2
392	2
439	2
474	2
544	2
649	2
676	2
697	2
721	2
762	2
778	2
800	2
966	2
1107	2
1113	2
1161	2
1465	2
1513	2
1920	2
2257	2
2365	2
2589	2
2628	2
3090	2
3209	2
3396	2
3691	2
3777	2
4205	2
4497	2
4685	2
4697	2
5119	2
5589	2
5597	2
6734	2
7875	2
8744	2
8873	2
9107	2
10234	2
10357	2
10599	2
10678	2
10797	2
10893	2
10895	2
10922	2
11348	2
11357	2
11810	2
11840	2
12004	2
12448	2
12711	2
13265	2
14086	2
14361	2
15574	2
16249	2
16370	2
16578	2
17719	2
21984	2
22830	2
24164	2
24177	2
24315	2
24347	2
25200	2
26472	2
232	3
270	3
280	3
665	3
671	3
735	3
755	3
2119	3
2632	3
4234	3
4243	3
5914	3
10397	3
10477	3
10599	3
10636	3
10754	3
11429	3
12174	3
12388	3
12742	3
13098	3
13117	3
14599	3
15584	3
15841	3
16065	3
16325	3
22373	3
22683	3
22973	3
23990	3
24182	3
26684	3
0	4
2	4
9	4
19	4
25	4
28	4
33	4
36	4
38	4
40	4
41	4
52	4
53	4
57	4
62	4
80	4
99	4
112	4
153	4
170	4
194	4
257	4
310	4
385	4
392	4
420	4
439	4
449	4
451	4
474	4
544	4
604	4
641	4
676	4
721	4
809	4
838	4
906	4
1103	4
1113	4
1161	4
1293	4
1412	4
1465	4
1513	4
1663	4
1920	4
2176	4
2257	4
2365	4
2589	4
2710	4
3041	4
3090	4
3396	4
3744	4
4123	4
4141	4
4205	4
4375	4
4497	4
4825	4
5597	4
5798	4
5891	4
6701	4
6793	4
7162	4
7370	4
7875	4
8479	4
8623	4
8873	4
9523	4
10237	4
10339	4
10357	4
10575	4
10599	4
10678	4
10797	4
10893	4
10895	4
10949	4
10990	4
11348	4
11357	4
11752	4
11840	4
12004	4
13130	4
14361	4
15356	4
15574	4
16249	4
17323	4
17719	4
18185	4
20346	4
20998	4
22804	4
23990	4
24164	4
24483	4
24767	4
25154	4
25200	4
25249	4
26472	4
26612	4
27669	4
29745	4
30061	4
8	5
136	5
153	5
191	5
198	5
222	5
256	5
298	5
315	5
320	5
321	5
322	5
325	5
333	5
366	5
367	5
394	5
431	5
433	5
452	5
462	5
473	5
550	5
576	5
706	5
768	5
797	5
1023	5
1042	5
1145	5
1197	5
1380	5
1763	5
1818	5
1825	5
2144	5
2156	5
3041	5
3112	5
3448	5
3611	5
3752	5
3805	5
3858	5
4187	5
5562	5
6050	5
8184	5
8426	5
8649	5
8818	5
8836	5
9203	5
10625	5
10934	5
11154	5
11837	5
13045	5
13062	5
18495	5
18959	5
19048	5
20308	5
20502	5
20752	5
21501	5
22701	5
23069	5
23076	5
23251	5
25730	5
4589	6
11256	6
14221	6
15444	6
16671	6
19947	6
27214	6
27852	6
828	7
1512	7
2446	7
2751	7
3040	7
3314	7
5607	7
7600	7
7875	7
8454	7
