itemId	latitude	longitude
0	32.94	-97.10
1	32.94	-97.13
2	39.04	-94.59
3	39.04	-94.59
4	30.27	-97.75
5	30.26	-97.73
6	30.27	-97.74
7	30.27	-97.75
8	30.27	-97.75
9	37.44	-122.16
10	37.44	-122.16
11	30.28	-97.72
12	30.28	-97.72
13	30.31	-97.74
14	30.27	-97.75
15	30.26	-97.74
16	30.27	-97.74
17	30.27	-97.74
18	30.27	-97.74
19	30.27	-97.74
20	30.27	-97.74
21	30.27	-97.75
22	30.27	-97.75
23	30.27	-97.74
24	30.27	-97.74
25	30.26	-97.74
26	30.27	-97.75
27	31.53	-97.13
28	30.27	-97.74
29	30.27	-97.74
30	30.27	-97.74
31	30.27	-97.74
32	30.27	-97.74
33	30.26	-97.74
34	30.27	-97.74
35	30.26	-97.74
36	30.26	-97.74
37	30.26	-97.75
38	30.26	-97.75
39	30.26	-97.74
40	30.27	-97.74
41	30.27	-97.74
42	30.27	-97.74
43	30.27	-97.74
44	37.79	-122.41
45	37.78	-122.41
46	37.83	-122.29
47	30.27	-97.74
48	30.30	-97.74
49	34.02	-118.49
50	34.02	-118.49
51	30.20	-97.67
52	30.25	-97.75
53	30.26	-97.81
54	30.27	-97.74
55	30.27	-97.74
56	30.27	-97.74
57	30.27	-97.74
58	30.26	-97.75
59	32.72	-97.36
60	32.72	-97.36
61	32.72	-97.36
62	32.78	-96.78
63	30.27	-97.74
64	32.79	-96.80
65	32.80	-96.80
66	39.04	-94.59
67	39.04	-94.58
68	32.76	-117.23
69	33.81	-117.92
70	30.26	-97.73
71	30.27	-97.74
72	30.27	-97.74
73	30.28	-97.77
74	37.32	-122.04
75	37.33	-122.03
76	32.94	-97.06
77	32.95	-97.06
78	32.96	-97.04
79	32.97	-97.04
80	38.90	-77.00
81	38.89	-77.00
82	38.89	-77.01
83	38.89	-77.03
84	38.88	-77.04
85	38.89	-77.03
86	38.89	-77.04
87	38.89	-77.04
88	38.89	-77.05
89	38.89	-77.05
90	38.89	-77.05
91	38.90	-77.04
92	35.14	-90.05
93	32.94	-97.13
94	32.85	-96.71
95	33.10	-96.82
96	33.09	-96.82
97	33.08	-96.82
98	32.77	-96.80
99	33.05	-96.83
100	32.82	-96.79
101	32.95	-96.61
102	32.79	-96.80
103	32.78	-96.81
104	32.78	-96.80
105	32.78	-96.81
106	32.78	-96.81
107	32.78	-96.81
108	37.33	-122.03
109	37.32	-122.03
110	40.00	-83.02
111	39.98	-83.04
112	39.99	-83.01
113	32.95	-96.82
114	32.77	-96.80
115	39.05	-94.59
116	39.05	-94.59
117	32.79	-96.81
118	32.78	-96.81
119	32.80	-96.80
120	32.81	-96.80
121	47.61	-122.34
122	47.61	-122.34
123	47.63	-122.36
124	47.60	-122.32
125	47.63	-122.36
126	32.86	-96.80
127	32.87	-96.77
128	32.82	-96.72
129	32.94	-97.13
130	37.44	-122.16
131	37.45	-122.16
132	37.72	-122.48
133	37.33	-122.03
134	37.79	-122.43
135	37.74	-122.42
136	37.78	-122.46
137	37.74	-122.41
138	37.78	-122.39
139	37.39	-121.98
140	37.78	-122.42
141	37.75	-122.42
142	37.77	-122.42
143	37.77	-122.40
144	33.15	-96.84
145	32.84	-96.78
146	32.75	-97.08
147	32.75	-97.09
148	32.76	-97.07
149	33.04	-97.28
150	32.94	-97.13
151	32.94	-97.13
152	32.94	-97.13
153	32.94	-97.19
154	32.79	-97.35
155	30.61	-96.34
156	30.62	-96.34
157	37.80	-122.41
158	37.80	-122.41
159	37.80	-122.41
160	37.80	-122.41
161	37.80	-122.41
162	37.80	-122.41
163	37.80	-122.41
164	37.80	-122.41
165	37.80	-122.40
166	41.88	-87.64
167	41.92	-87.64
168	32.92	-97.09
169	32.75	-97.36
170	32.79	-96.81
171	32.68	-97.40
172	29.75	-95.36
173	29.76	-95.36
174	29.68	-95.41
