follower	followee
5	0
10	0
12	0
14	0
19	0
20	0
23	0
52	0
54	0
78	0
128	0
139	0
162	0
191	0
236	0
275	0
376	0
521	0
556	0
658	0
723	0
764	0
838	0
1011	0
1316	0
1461	0
1662	0
1814	0
1940	0
2387	0
2630	0
2946	0
2986	0
4250	0
4790	0
4851	0
5088	0
5153	0
5557	0
6494	0
6897	0
7064	0
7141	0
7540	0
7771	0
8363	0
9003	0
9083	0
9822	0
10006	0
10610	0
12115	0
12260	0
12926	0
13842	0
14080	0
14396	0
16686	0
16894	0
18182	0
19552	0
20014	0
20263	0
20299	0
20345	0
20424	0
20457	0
20996	0
21139	0
21505	0
21772	0
23413	0
23779	0
23847	0
24219	0
25063	0
68	1
79	1
153	1
796	1
1419	1
1461	1
2508	1
3777	1
5672	1
6540	1
6825	1
6982	1
7230	1
7595	1
9203	1
13966	1
15884	1
16894	1
17152	1
18496	1
20014	1
22303	1
25129	1
5	2
11	2
27	2
30	2
33	2
35	2
43	2
47	2
83	2
94	2
128	2
139	2
216	2
252	2
263	2
330	2
399	2
453	2
560	2
571	2
595	2
626	2
631	2
662	2
792	2
909	2
942	2
950	2
1219	2
1263	2
1497	2
1569	2
1610	2
1886	2
1982	2
2173	2
2209	2
2604	2
2685	2
2847	2
3015	2
3083	2
3152	2
3482	2
3727	2
3904	2
3916	2
3917	2
4637	2
4645	2
5069	2
6436	2
7124	2
7240	2
7423	2
8337	2
8448	2
8670	2
8746	2
8855	2
8945	2
8947	2
8974	2
9391	2
9400	2
9836	2
9863	2
9999	2
10176	2
10369	2
10582	2
11615	2
11727	2
12685	2
13516	2
13610	2
13774	2
14741	2
18325	2
19013	2
20162	2
20171	2
20273	2
20299	2
21025	2
22100	2
647	3
694	3
1497	3
2173	3
2847	3
3271	3
3573	3
4152	3
4901	3
5294	3
6375	3
8642	3
8670	3
9895	3
10329	3
12356	3
12567	3
13719	3
14078	3
14079	3
15154	3
17743	3
20920	3
24794	3
227	4
236	4
554	4
556	4
607	4
623	4
2212	4
3505	4
3513	4
4554	4
4893	4
5088	4
8481	4
8549	4
8670	4
8710	4
8821	4
8957	4
9469	4
10140	4
10610	4
10891	4
10908	4
12139	4
12977	4
13035	4
13575	4
18662	4
18893	4
19137	4
20014	4
20175	4
22286	4
0	5
2	5
11	5
21	5
26	5
27	5
30	5
33	5
34	5
35	5
43	5
44	5
47	5
52	5
83	5
94	5
128	5
139	5
159	5
216	5
252	5
324	5
330	5
353	5
376	5
377	5
399	5
453	5
505	5
536	5
560	5
595	5
626	5
671	5
694	5
750	5
908	5
950	5
1065	5
1174	5
1219	5
1263	5
1393	5
1569	5
1610	5
1832	5
