itemId	latitude	longitude
0	32.94	-97.10
1	32.94	-97.13
2	39.04	-94.59
3	39.04	-94.59
4	30.27	-97.75
5	30.26	-97.73
6	32.94	-97.06
7	32.95	-97.06
8	30.27	-97.74
9	30.27	-97.75
10	30.27	-97.75
11	30.27	-97.74
12	30.27	-97.74
13	30.28	-97.72
14	30.28	-97.72
15	30.31	-97.74
16	30.27	-97.75
17	30.26	-97.74
18	30.27	-97.74
19	30.27	-97.74
20	30.27	-97.74
21	30.27	-97.75
22	30.27	-97.75
23	30.26	-97.81
24	30.27	-97.74
25	30.27	-97.74
26	30.27	-97.74
27	30.27	-97.74
28	30.27	-97.74
29	30.26	-97.75
30	30.27	-97.74
31	30.26	-97.74
32	30.27	-97.75
33	30.27	-97.74
34	30.27	-97.74
35	30.27	-97.74
36	30.27	-97.74
37	30.27	-97.74
38	30.26	-97.74
39	30.27	-97.74
40	30.26	-97.74
41	30.26	-97.74
42	30.26	-97.75
43	30.26	-97.75
44	30.26	-97.74
45	30.27	-97.74
46	30.27	-97.74
47	30.27	-97.74
48	30.27	-97.74
49	37.79	-122.41
50	37.78	-122.41
51	37.83	-122.29
52	37.44	-122.16
53	30.27	-97.74
54	30.30	-97.74
55	30.20	-97.67
56	30.25	-97.75
57	32.79	-96.80
58	32.80	-96.80
59	32.76	-117.23
60	33.81	-117.92
61	30.26	-97.73
62	30.27	-97.74
63	30.27	-97.74
64	30.28	-97.77
65	37.33	-122.03
66	38.89	-77.01
67	38.88	-77.04
68	38.89	-77.03
69	38.89	-77.04
70	38.89	-77.04
71	38.89	-77.05
72	38.89	-77.05
73	38.89	-77.05
74	38.90	-77.04
75	33.10	-96.82
76	33.09	-96.82
77	33.05	-96.83
78	32.82	-96.79
79	32.95	-96.61
80	32.79	-96.80
81	32.78	-96.80
82	37.33	-122.03
83	40.00	-83.02
84	39.98	-83.04
85	32.95	-96.82
86	32.77	-96.80
87	32.79	-96.81
88	32.80	-96.80
89	47.61	-122.34
90	47.63	-122.36
91	32.87	-96.77
92	32.82	-96.72
93	37.33	-122.03
94	37.78	-122.39
95	37.39	-121.98
96	37.45	-122.16
97	37.78	-122.42
98	37.77	-122.42
99	37.77	-122.40
100	33.15	-96.84
101	32.84	-96.78
102	32.75	-97.08
103	32.75	-97.09
104	32.76	-97.07
105	33.04	-97.28
106	32.94	-97.13
107	32.94	-97.13
108	30.61	-96.34
109	30.62	-96.34
110	37.80	-122.41
111	37.80	-122.41
112	37.80	-122.41
113	37.80	-122.41
114	37.80	-122.41
115	37.80	-122.41
116	37.80	-122.41
117	32.75	-97.36
118	32.79	-96.81
119	32.68	-97.40
120	29.75	-95.36
121	29.76	-95.36
122	29.68	-95.41
123	33.76	-97.13
124	35.21	-97.44
125	35.20	-97.44
126	39.05	-94.48
127	41.83	-87.63
128	41.88	-87.67
129	37.79	-122.41
130	37.82	-122.48
131	37.81	-122.42
132	37.81	-122.42
133	37.81	-122.41
134	37.81	-122.41
135	37.80	-122.40
136	36.12	-115.17
137	36.12	-115.17
138	36.13	-115.17
139	47.62	-122.35
140	36.12	-115.17
141	36.11	-115.17
142	29.43	-98.49
143	32.95	-97.13
144	32.94	-97.13
145	30.25	-97.76
146	30.25	-97.76
147	30.28	-97.74
148	30.29	-97.74
149	32.81	-96.80
150	33.78	-84.37
151	33.78	-84.41
152	33.79	-84.41
153	32.78	-96.77
154	32.78	-96.77
155	32.78	-96.76
156	32.78	-96.76
157	41.90	-87.62
158	41.89	-87.61
159	41.88	-87.62
160	41.88	-87.67
161	38.92	-77.03
162	38.89	-77.02
163	38.89	-77.02
164	40.74	-74.01
165	40.75	-74.01
166	40.74	-73.99
167	40.73	-73.99
168	30.25	-97.75
169	30.25	-97.75
170	30.23	-97.82
171	40.75	-73.99
172	40.75	-73.99
173	30.27	-97.75
174	38.90	-77.02
