follower	followee
50	0
367	0
878	0
917	0
3769	0
4332	0
4954	0
5575	0
7475	0
8343	0
9707	0
10324	0
10472	0
11281	0
12266	0
13436	0
15671	0
133	1
140	1
341	1
343	1
347	1
368	1
1367	1
1876	1
2033	1
2879	1
2995	1
4902	1
4948	1
5068	1
5097	1
5164	1
5191	1
5646	1
5812	1
5882	1
6342	1
6649	1
6823	1
7481	1
7878	1
7981	1
8017	1
11411	1
11570	1
11687	1
11975	1
12266	1
8	2
10	2
17	2
21	2
25	2
31	2
32	2
34	2
39	2
48	2
78	2
87	2
121	2
124	2
151	2
188	2
192	2
195	2
210	2
227	2
247	2
253	2
298	2
310	2
329	2
362	2
378	2
425	2
446	2
515	2
537	2
561	2
737	2
740	2
774	2
795	2
982	2
1143	2
1230	2
1342	2
1427	2
1512	2
1738	2
1810	2
1814	2
1887	2
1985	2
2202	2
2228	2
2361	2
2626	2
2652	2
2748	2
2904	2
3246	2
3703	2
3962	2
4054	2
4284	2
4744	2
4793	2
4857	2
4870	2
5050	2
5068	2
5121	2
5176	2
5299	2
5318	2
5379	2
5424	2
5633	2
5742	2
5750	2
6073	2
6091	2
6097	2
6151	2
6207	2
6689	2
6802	2
7260	2
7795	2
7802	2
8250	2
8337	2
8393	2
9056	2
9472	2
10608	2
10749	2
12266	2
12511	2
12653	2
12872	2
12913	2
13021	2
15523	2
18	3
22	3
78	3
305	3
319	3
773	3
1231	3
1916	3
2199	3
2444	3
3490	3
3833	3
4284	3
4891	3
5318	3
5764	3
5844	3
5845	3
6033	3
6236	3
6534	3
7693	3
8984	3
10954	3
11358	3
12266	3
14864	3
14905	3
15571	3
2277	4
7376	4
10866	4
14064	4
14326	4
1147	5
1304	5
1578	5
1967	5
3703	5
6138	5
6893	5
7337	5
11975	5
12576	5
12672	5
12967	5
39	6
78	6
1817	6
2210	6
3267	6
7270	6
13137	6
14392	6
15520	6
10	7
12	7
72	7
78	7
79	7
99	7
102	7
104	7
134	7
149	7
156	7
158	7
206	7
218	7
221	7
233	7
271	7
280	7
311	7
335	7
342	7
386	7
387	7
421	7
459	7
549	7
740	7
820	7
925	7
962	7
969	7
1097	7
1130	7
1427	7
1499	7
1725	7
1758	7
1821	7
1916	7
1924	7
2557	7
2896	7
2955	7
3706	7
4121	7
4513	7
4662	7
4744	7
4755	7
4832	7
5140	7
5162	7
5188	7
5360	7
5361	7
5443	7
5845	7
9125	7
10394	7
11307	7
12192	7
12266	7
12267	7
12547	7
2	8
18	8
34	8
39	8
48	8
78	8
87	8
151	8
186	8
188	8
210	8
247	8
329	8
362	8
397	8
515	8
715	8
774	8
795	8
982	8
1230	8
1251	8
1291	8
1304	8
1306	8
1342	8
1481	8
1512	8
1586	8
1738	8
1810	8
2202	8
2228	8
2391	8
2536	8
2638	8
2902	8
3368	8
3803	8
3838	8
3892	8
4054	8
4221	8
4341	8
4886	8
5121	8
5145	8
5176	8
5191	8
5299	8
5318	8
5687	8
5941	8
6097	8
6207	8
6573	8
6689	8
6836	8
7260	8
7563	8
7693	8
7977	8
8337	8
8533	8
9056	8
9455	8
9619	8
9746	8
10594	8
11143	8
11815	8
12041	8
12267	8
12872	8
12913	8
12929	8
12942	8
13095	8
13111	8
13718	8
14064	8
14274	8
14823	8
15974	8
10	9
12	9
18	9
22	9
42	9
61	9
72	9
78	9
87	9
147	9
217	9
235	9
290	9
311	9
406	9
459	9
598	9
599	9
782	9
1014	9
1342	9
1568	9
1890	9
1916	9
2199	9
2241	9
2525	9
3111	9
3823	9
4222	9
4473	9
5108	9
5161	9
5170	9
5382	9
5553	9
5561	9
5569	9
5615	9
5669	9
5672	9
5727	9
5749	9
5790	9
5829	9
5845	9
5901	9
5967	9
6033	9
6308	9
6534	9
6587	9
6659	9
6709	9
7065	9
7329	9
7563	9
7693	9
7935	9
8868	9
8984	9
9248	9
9408	9
10701	9
10964	9
11134	9
11143	9
11393	9
11815	9
12266	9
12542	9
12791	9
13459	9
14223	9
14388	9
14515	9
14703	9
15705	9
2	10
7	10
9	10
15	10
16	10
19	10
39	10
52	10
78	10
87	10
104	10
110	10
140	10
227	10
343	10
349	10
406	10
459	10
626	10
820	10
931	10
1021	10
1066	10
1481	10
1621	10
1818	10
2557	10
2870	10
2995	10
3029	10
3236	10
3975	10
4049	10
4156	10
4284	10
4318	10
4808	10
4954	10
5379	10
5452	10
6114	10
6649	10
6851	10
7506	10
7510	10
7567	10
7957	10
8522	10
8618	10
8669	10
10324	10
10395	10
11100	10
11980	10
12058	10
12266	10
12350	10
12381	10
12516	10
12926	10
14263	10
14291	10
14767	10
15064	10
