itemId	latitude	longitude
0	39.04	-94.59
1	30.27	-97.74
2	30.27	-97.75
3	30.27	-97.75
4	30.27	-97.75
5	30.27	-97.74
6	30.28	-97.72
7	30.28	-97.72
8	30.31	-97.74
9	30.27	-97.75
10	30.26	-97.74
11	30.27	-97.74
12	30.27	-97.75
13	30.26	-97.81
14	30.27	-97.74
15	30.27	-97.74
16	30.26	-97.74
17	30.27	-97.75
18	30.27	-97.74
19	30.26	-97.74
20	30.27	-97.74
21	30.26	-97.74
22	30.26	-97.74
23	30.26	-97.75
24	30.26	-97.74
25	30.27	-97.74
26	30.27	-97.74
27	30.30	-97.74
28	30.20	-97.67
29	30.26	-97.73
30	30.27	-97.74
31	30.28	-97.77
32	37.33	-122.03
33	38.89	-77.01
34	38.89	-77.04
35	38.89	-77.05
36	38.90	-77.04
37	37.44	-122.16
38	32.79	-96.80
39	33.09	-96.82
40	32.82	-96.79
41	37.33	-122.03
42	32.79	-96.81
43	47.61	-122.34
44	37.33	-122.03
45	37.79	-122.41
46	37.78	-122.39
47	37.45	-122.16
48	32.75	-97.08
49	32.75	-97.09
50	32.76	-97.07
51	32.79	-96.81
52	32.94	-97.13
53	29.76	-95.36
54	29.68	-95.41
55	35.20	-97.44
56	39.05	-94.48
57	41.83	-87.63
58	37.82	-122.48
59	37.81	-122.42
60	37.81	-122.41
61	36.12	-115.17
62	36.12	-115.17
63	36.12	-115.17
64	29.43	-98.49
65	33.78	-84.41
66	33.79	-84.41
67	41.89	-87.61
68	32.78	-96.76
69	32.78	-96.76
70	30.25	-97.75
71	30.25	-97.75
72	40.75	-73.99
73	40.75	-73.99
74	37.78	-122.40
75	37.78	-122.40
76	37.78	-122.41
77	37.79	-122.41
78	37.80	-122.39
79	37.78	-122.39
80	37.76	-122.42
81	30.27	-97.74
82	30.39	-97.73
83	38.89	-77.02
84	38.95	-77.45
85	38.89	-77.03
86	33.64	-84.44
87	38.85	-77.04
88	37.79	-122.40
89	37.79	-122.40
90	30.26	-97.76
91	30.30	-97.78
92	30.26	-97.75
93	39.30	-94.72
94	41.88	-87.62
95	32.90	-97.04
96	32.90	-97.04
97	45.59	-122.59
98	30.27	-97.75
99	33.81	-117.92
100	33.81	-117.92
101	40.76	-73.98
102	40.76	-73.99
103	39.85	-104.67
104	30.32	-97.72
105	30.26	-97.73
106	30.30	-97.74
107	30.26	-97.76
108	30.26	-97.76
109	30.36	-97.73
110	30.30	-97.73
111	29.74	-95.46
112	29.65	-95.28
113	30.26	-97.76
114	30.26	-97.76
115	30.27	-97.75
116	30.26	-97.79
117	40.78	-73.96
118	40.78	-73.97
119	40.77	-73.97
120	37.77	-122.42
121	51.46	-0.17
122	37.76	-122.39
123	37.78	-122.39
124	37.32	-121.99
125	30.24	-97.75
126	30.24	-97.76
127	30.27	-97.74
128	30.27	-97.75
129	30.27	-97.75
130	30.26	-97.75
131	30.26	-97.77
132	30.27	-97.77
133	30.41	-97.75
134	30.42	-97.70
135	40.75	-73.98
136	40.75	-73.98
137	32.85	-96.77
138	37.44	-122.16
139	30.27	-97.74
140	30.26	-97.76
141	30.22	-97.84
142	37.44	-122.16
143	37.62	-122.39
144	41.98	-87.90
145	42.37	-71.02
146	42.35	-71.06
147	37.76	-122.43
148	40.64	-73.78
149	37.75	-122.42
150	59.36	17.97
151	59.61	16.55
152	40.75	-73.99
153	30.27	-97.75
154	30.27	-97.75
155	30.25	-97.75
156	30.27	-97.75
157	37.79	-122.40
158	33.94	-118.41
159	35.46	-97.51
160	35.47	-97.57
161	33.10	-96.81
162	30.27	-97.74
163	35.47	-97.52
164	35.48	-97.51
165	51.51	-0.22
166	51.47	-0.45
167	51.51	-0.14
168	51.52	-0.08
169	47.61	-122.34
170	35.48	-97.52
171	35.52	-97.55
172	35.53	-97.54
173	35.69	139.70
174	35.73	139.71
175	31.80	-97.10
176	35.46	-97.51
177	40.76	-73.97
178	40.74	-73.99
179	40.75	-73.98
180	32.84	-96.85
181	32.80	-96.80
182	37.77	-122.47
183	53.48	-2.23
184	30.29	-97.73
185	40.77	-73.87
186	30.25	-97.75
187	33.64	-84.44
188	37.71	-122.21
189	42.35	-71.07
190	30.25	-97.78
191	30.22	-97.84
192	30.26	-97.76
193	30.33	-97.74
194	40.74	-73.99
195	51.53	-0.13
196	41.79	-87.74
197	30.28	-97.75
198	30.27	-97.74
199	30.29	-97.78
200	30.27	-97.75
201	37.39	-122.08
202	37.46	-122.14
203	37.42	-122.15
204	37.78	-122.39
205	37.78	-122.41
206	40.02	-105.28
207	39.76	-104.99
208	30.25	-97.78
209	40.50	-80.25
210	36.12	-115.18
211	36.11	-115.17
212	36.11	-115.17
213	35.04	-89.98
214	51.53	-0.13
215	51.53	-0.12
216	51.51	-0.12
217	33.44	-112.00
218	36.08	-115.15
219	36.13	-115.17
220	36.10	-115.17
221	33.82	-118.14
222	47.44	-122.30
223	47.62	-122.35
224	47.60	-122.33
225	30.27	-97.75
226	30.28	-97.74
227	30.30	-97.74
228	30.27	-97.75
229	34.04	-118.27
230	37.78	-122.40
231	35.40	-97.60
232	35.65	-97.55
233	32.73	-97.39
234	37.78	-122.40
235	37.78	-122.40
236	30.53	-97.63
237	32.87	-96.77
238	32.87	-96.77
239	33.03	-96.83
240	42.22	-83.36
241	30.42	-97.70
242	30.47	-97.80
243	39.91	-75.17
244	40.69	-74.18
245	30.29	-97.74
246	35.22	-80.94
247	51.50	-0.11
248	51.51	-0.13
249	51.50	-0.12
250	51.52	-0.18
251	41.95	-87.66
252	41.88	-87.64
253	32.81	-96.77
254	30.42	-97.75
255	30.25	-97.75
256	30.25	-97.75
257	30.26	-97.75
258	30.27	-97.74
259	51.51	-0.10
260	39.51	-119.78
261	43.69	-79.62
262	33.81	-117.92
263	33.81	-117.92
264	33.81	-117.92
265	42.36	-71.02
266	40.71	-74.00
267	40.77	-73.98
268	40.78	-73.97
269	30.45	-97.79
270	39.05	-84.66
271	51.51	-0.13
272	30.28	-97.74
273	30.26	-97.72
274	30.26	-97.81
275	37.78	-122.41
276	29.43	-98.44
277	30.27	-97.74
278	32.82	-96.79
279	32.82	-96.77
280	32.89	-97.10
281	30.24	-97.75
