sessionId	userId	items
0	0	0,0
1	1	1,2,3
2	2	4,3
3	3	2,5
4	4	6,7,8
5	5	9,10,11,5,12,3,2
6	6	13,11,14
7	7	3,14
8	8	2,15,16,3
9	9	17,12,3,2
10	10	14,15,10,14,15,18,3,5,3,19,5,5,20,18,21,22,2,23,24,19,10,1,25,26
11	11	10,3,2
12	12	1,10
13	13	10,15
14	14	10,18,9
15	15	3,5,10,19,16,14,15
16	16	10,3,3,1,19,16,15,20
17	17	9,1
18	18	18,20
19	19	3,23,9,14,4,27
20	20	1,5,10,28
21	21	12,16
22	22	10,2,12,22,18,16,29,10,1,3,17,30,18,9,15,31,28,32
23	23	33,34,35,36
24	7	37,37
25	24	38,39,40
26	25	38,38
27	22	41,32
28	25	42,38,38
29	26	1,10,14,20,1,18,15,20,5,5,12,3,2,22,9,43,43,43
30	27	44,32,45,46,47
31	28	48,49,50
32	25	38,38,51,52
33	29	53,54,55,56
34	30	57,58,59,60,45
35	31	61,62
36	32	63,61,62
37	28	11,27,64
38	25	38,38
39	33	65,66
40	30	57,67
41	34	38,68,69
42	35	70,71
43	36	48,49
44	37	72,73
45	38	52,39,49,38
46	39	22,19,71
47	40	74,75,76,77
48	27	60,59,74
49	41	78,74,79,77,45,80,46
50	0	0,0,0,0,0,0,0,0,0,0,0
51	42	41,44
52	43	81,82
53	44	33,83
54	45	36,34,76,79,45,77
55	46	84,35,34,85
56	47	86,87
57	48	88,89
58	45	74,80
59	49	90,91,92
60	50	0,0,0,0
61	0	0,93,0
62	51	67,94
63	52	52,95,96,97
64	53	98,8
65	54	99,100
66	55	101,102
67	56	73,103
68	57	49,48
69	58	37,37
70	59	44,32,44,41
71	60	17,3,104,105,106
72	61	107,90,108,64,109,7,110
73	51	111,112
74	62	108,90,113,114
75	63	115,116
76	64	117,118,119
77	16	80,120
78	65	121,121,121
79	27	122,123,46,124,46,46
80	10	125,126,127,128
81	61	129,130,131,132,133,134
82	66	135,136,118
83	67	103,103
84	2	38,49,38,137,70,3,2
85	68	98,91
86	58	138,37
87	0	0,0,0,0,0,0
88	69	139,81,140,92,141
89	70	92,139,140,92,141
90	71	142,47,143,144,145,146
91	72	147,147
92	73	143,148
93	74	149,45,89
94	55	148,148
95	75	150,151
96	76	73,152
97	24	137,39
98	7	120,37
99	77	2,127
100	78	153,154,3,153,126,154,155,71,156,154,48,38
101	79	157,158
102	80	159,160,161,39
103	70	162,11,3,25,139
104	81	163,164
105	82	165,166
106	65	167,168
107	26	169,169,43
108	83	163,163,170,171,172,163,163,160,163,170
109	84	173,174
110	48	106,175
111	85	163,164,171,172,163,160,176,159,160,171,172,163
112	86	135,177
113	55	178,179
114	87	180,38,181
115	88	144,64,144
116	89	45,32,44,182
117	90	183,183
118	91	184,144
119	92	45,147,144
120	93	185,72
121	94	48,49,48,49
122	95	36,34,83
123	96	186,115
124	97	187,145
125	98	77,188
126	99	28,145,189
127	19	190,191,90,108,192,153,154,192,132,153,154,191,4,139,113,191,192,193,126,18,108
128	37	136,135,194
129	100	44,147,143,41
130	101	183,195
131	102	196,143
132	103	197,11,198,125,92,91,91,139,92,91,199,92,92,81,12,3,200,5
133	104	123,88,45,123,201,202,203
134	105	45,147,204,45
135	106	86,187
136	107	122,205,78
137	27	187,143,143,77,157,149,204,46
138	108	206,207
139	109	185,185
140	110	153,128
141	111	46,123
142	112	155,115,208,11,113,71,4,199,91,16,1,19,208,70
143	113	147,158,149,147
144	114	209,62,61,63,210,210,211,212
145	115	213,143
146	53	131,132
147	116	214,215,195,216
148	117	76,204
149	118	190,217
150	119	93,148,118,119,102,117
151	120	145,103,103,148,101,177,218,219,220,218,221,221,222,223,224,43,222,221,144
152	121	42,12,225,9,226,227,17,228,3
153	122	229,100,99
154	22	41,46,230,44,149,79,149
155	123	213,231,232,232,231
156	124	96,144,95,233
157	16	45,234,74,235
158	125	37,78,148,101
159	126	228,199
160	127	236,134
161	128	237,238
162	129	87,34,87
163	130	39,51,161,42,239
164	131	93,196,240
165	132	95,144,39
166	133	241,134,133,242
167	134	203,143,158,28,184,28,203
168	135	93,28
169	136	243,244,28,108,125,244
170	137	95,28,245,7,28,95
171	0	246,247,168,248,249,250
172	51	99,232,231,144,251,252,231
173	3	128,155,20,200,5,20,28
174	138	203,203
175	139	158,229
176	8	253,38,253,38,42,237,39,39
177	140	254,104
178	141	255,256,125,71,70,92,257,258,81,30,18
179	142	203,46,46
180	60	259,95,260,166
181	143	68,244
182	144	103,229,229,229,229,158
183	145	44,60
184	146	163,163,163,163,160,163,164,163,163,163,170,163,163,163
185	147	261,158,158,261
186	148	229,99,100,262,263,264
187	149	203,203,143
188	150	164,160,170,164,170,164,170
189	151	51,38
190	152	265,266,177,267,119,268,117
191	153	241,269
192	154	222,270
193	82	271,248
194	155	92,13,92,92,91,272,92,273,274,274
195	156	203,203,203
196	102	203,123,204
197	157	203,203
198	158	203,203,203
199	159	123,275
200	160	157,77,45,234,45,234,45,78
201	161	276,18
202	162	276,18,277
203	39	40,278,279,253,280
204	163	240,231,176,187
205	164	162,139,81,281,255,23,282,283,103
206	165	65,66
207	166	99,262
208	167	223,169
209	168	284,285
210	169	92,23,10,18
211	54	158,262,99,286
212	170	287,287,136,148
213	171	167,167
214	172	234,120,234,288,147
215	173	158,218
216	174	289,244
217	56	103,290,103,144
218	175	2,281
219	176	291,292,266
220	177	158,293,144
221	178	294,294
222	179	194,101,95
223	180	46,58,143,103,187,86,187,187,295,296
224	181	163,170,159,297,163,170,297,163,163,170,163,297,163,159,163
225	182	295,265,145
226	183	144,143,235,235
227	184	48,49
228	185	298,49
229	186	237,137,49
230	5	266,148,28,299,19,300,301,70,28,148
231	187	302,302
232	188	39,303,282,304,305,273,306,137
233	189	261,261
234	190	49,103,95,93,56,49
235	191	307,143
236	192	147,120,147,234
237	193	308,94
238	194	265,309,309,265
239	55	310,158,293,148,102,72
240	195	49,34,35
241	196	170,160,164,232,164,170,170,170,164
242	197	297,163,170,297,163,170,163,163,163,297,164
243	198	145,185
244	199	311,312,252,312
245	200	216,249
246	201	271,215,167
247	202	313,313,313,313,313,313
248	203	314,315,94,312,308
249	204	203,143
250	205	316,317
251	206	103,318,84,145
252	207	213,270
253	208	170,170
254	209	160,160,160,231,176,297,172,171
255	210	319,253
256	211	73,135,320,194,145,265,143,143,321,322
257	212	323,292,209,196,158
258	213	324,325
259	214	106,27
260	215	203,203
261	120	251,57,84,34,326,85
262	140	133,82,327
263	216	143,218
264	217	266,209
265	218	206,206,206,103,143,77
266	219	251,315
